4441	2
5874	5
5759	3
5154	3
5550	21
5851	44
4556	32
5650	8
4366	2
5509	131
5907	5
4374	1
5398	138
5717	4
5678	168
4442	2
5852	1
5796	0
3538	1
4373	3
5533	12
4516	5
5192	9
4975	12
5613	53
5918	84
5447	2
5002	3
5836	5
5544	15
4545	3
4904	54
4540	6
5534	4
5590	46
5552	3
5721	1
5140	2
5587	37
4888	9
5425	16
3517	2
5619	5
5517	37
4973	5
5392	7
5655	49
3518	4
6023	37
4484	71
5734	87
4463	8
4539	0
5757	20
5700	7
5900	8
6033	3
5262	7
4589	4
4434	55
4375	7
5136	197
5869	3
5855	67
5198	3
4368	31
5585	5
5420	59
5193	6
4510	5
5684	4
4453	2
4512	138
6030	5
5372	1
5772	42
5609	3
4435	6
5559	6
5649	2
5745	68
4414	2
5789	7
5558	54
4896	2
4436	3
5782	40
5377	6
5661	36
5923	4
4874	91
5589	2
4390	3
5161	14
5505	42
4558	47
5369	3
4440	4
5750	5
5380	4
4907	5
5840	23
5581	68
5529	1
4503	43
4427	30
4394	23
5375	24
5211	6
5677	73
5906	2
5639	4
5414	47
5620	6
4535	4
5205	2
5637	48
5485	11
4443	9
5894	6
5596	44
5499	5
5260	5
5681	54
5180	6
5508	3
4970	4
5383	7
5646	46
5735	13
4529	4
5495	2
5019	18
5370	7
4401	1
5403	25
4869	1
5273	2
5255	50
4400	21
5562	7
4490	7
4491	3
5853	7
4898	8
5882	3
5680	12
5443	179
3458	6
5426	3
5553	15
5163	84
4892	4
5441	4
5712	47
5155	2
5130	34
5528	3
4372	4
5162	17
5256	14
5707	2
5549	114
5541	56
5597	1
4884	2
5131	21
5516	2
5766	3
5014	1
5424	24
5617	57
4914	55
4514	49
4597	0
5719	6
4438	6
5663	4
5434	2
5182	8
6042	32
4415	6
5387	27
5265	53
5578	1
5746	3
5554	75
4877	11
5632	5
5148	5
4387	23
5716	1
5817	0
5397	2
5870	16
4976	65
5631	5
4445	36
4565	56
4382	5
5761	2
4509	6
4906	39
5686	27
5407	3
5174	2
5520	6
6039	1
4471	43
4456	80
4447	66
4364	120
5278	63
5367	12
5548	42
5172	30
4549	6
4369	12
5671	6
5679	90
5404	6
6027	24
4566	19
4533	4
5551	68
5917	55
5776	1
5899	44
5570	8
4564	38
4451	7
4444	1
4910	9
4878	5
5638	46
5170	19
5771	3
4526	56
5132	73
4367	33
5858	4
4515	27
5604	66
5166	65
5442	37
4553	23
4381	1
4522	8
5452	2
5145	3
5542	2
4916	9
5576	2
5773	48
5920	69
5186	5
4863	2
4500	3
4893	15
4459	9
5768	8
4452	23
3454	7
5568	26
5792	4
5515	3
5670	4
5415	163
4532	5
5493	2
4917	28
5463	5
5185	133
5715	4
5165	34
5586	76
5713	2
5702	6
4477	6
4517	56
5687	2
4890	8
5787	75
5152	33
5580	11
5760	6
5458	27
5413	5
5405	4
4362	5
4508	1
4588	27
5137	50
5389	12
4507	1
5859	9
5428	165
4505	4
5280	56
5781	18
5898	42
4379	0
5274	2
5167	102
4479	2
4403	3
5267	25
4574	3
4370	19
5635	6
4448	56
5724	6
5701	7
5780	8
5212	5
4569	14
5386	3
4525	3
5842	4
5656	3
5445	8
4494	3
5751	5
5739	4
5654	5
5610	56
5269	3
5854	124
5563	44
5374	53
6040	4
5390	47
5794	49
5527	9
5015	8
5134	1
4384	7
4981	11
5723	70
4392	167
5850	0
5207	2
4359	6
5616	3
5575	56
4531	11
5561	4
5547	67
5690	2
4360	20
5896	1
5206	54
4410	5
5706	90
5197	3
4396	12
4580	47
5401	3
5608	3
5488	50
5738	31
5722	20
4986	4
4581	4
5601	2
5915	19
4586	7
5866	70
5461	86
5591	6
4996	2
4551	35
5583	56
5465	25
4386	2
5599	45
5884	7
4963	9
4879	17
5159	11
4413	2
4998	2
4868	21
5689	9
5913	106
5418	5
5603	7
4398	0
4464	16
4889	10
5651	4
3519	1
4458	22
3478	2
5674	4
4422	48
4488	4
5765	5
5270	85
5190	1
4538	127
5450	7
4563	5
5411	5
4999	48
5437	20
4573	4
5714	14
5201	71
5449	6
4971	16
5662	142
5823	2
4402	14
5150	54
5863	5
4431	30
5826	40
5171	17
5640	7
5535	2
5594	14
5494	3
5026	26
5457	15
4473	0
4449	4
5525	20
5191	1
5406	46
5769	24
3450	6
5727	3
4908	31
5595	7
5905	58
5007	5
5539	19
4395	2
5156	19
5895	0
4504	6
5848	2
4470	1
5705	4
4913	6
4521	4
5371	63
5615	62
5788	3
5440	4
5195	9
5169	18
4371	59
5742	1
5652	3
5577	162
5574	10
4498	2
5432	55
5175	1
5657	3
3414	2
4605	132
5685	2
5532	2
4964	8
4968	1
5200	53
5653	7
